Latitude,Longitude
35.8765617,128.421798
35.9318866,128.5580312
35.9436296,128.5696827
35.9210966,128.5968548
35.8964015,128.5210274
37.4623941,126.6319467
37.4738076,126.6403363
37.4754698,126.6176157
37.49351,126.4884347
37.4561542,126.6029156
37.2560204,126.4991746
37.5336549,126.4269538
37.8243223,124.7179705
37.659714,125.7034543
37.9737087,124.7209472
37.2266921,126.1454627
37.4446247,126.4013034
37.4821695,126.6369959
37.4748473,126.6320526
37.4798921,126.6452086
37.488725,126.5550729
37.448929,126.6646364
37.4576336,126.6460186
37.4699603,126.6611371
37.4644396,126.6776861
37.4444202,126.6964633
37.437273,126.6849973
37.448489,126.6696456
37.4557823,126.6380235
37.4582435,126.6905809
37.4614729,126.7336731
37.443134,126.7160597
37.4588566,126.7105985
37.456043,126.7150385
37.4656121,126.697118
37.449846,126.6954283
37.5004886,126.7024718
37.472611,126.6969073
37.4956127,126.7260553
37.4862487,126.7081914
37.510476,126.7091067
37.4859999,126.7177842
37.6024007,126.6561677
37.5579979,126.6756419
37.4923004,126.680054
37.511124,126.6753177
37.533365,126.6536783
37.5094672,126.6783993
37.6131039,126.6833444
37.5208698,126.6751807
37.5347653,126.7383077
37.5325147,126.7142082
37.5475604,126.7259343
37.5766637,126.7346764
37.5391258,126.7257936
37.7627554,126.4647447
37.6409419,126.4911114
37.7045045,126.3216159
37.7814379,126.281189
37.6516456,126.2396274
37.6862848,126.4796241
37.6337026,126.4173461
37.6643718,126.4207364
37.7185656,126.3894697
37.7487852,126.4859711
37.7121399,126.4835076
37.7992331,126.4061169
37.7734865,126.4140784
37.4187502,126.6709358
37.4029358,126.6692666
37.3910853,126.651617
37.3867867,126.669318
37.4277964,126.6589866
37.4226933,126.701244
37.5135589,126.723285
37.4976975,126.7397074
37.4961236,126.7237981
37.482169,126.7460064
37.4955263,126.7351617
37.4437928,126.737256
37.3935698,126.7237058
37.4093705,126.6935915
37.4355192,126.7475687
35.1910266,126.8284676
35.2162971,126.8465452
35.1538575,126.8077236
35.1794742,126.8091569
35.1289813,126.7854723
35.1447209,126.8030243
35.1847109,126.794558
35.2216304,126.8238067
35.1242015,126.7597935
35.0975116,126.7739434
35.1632571,126.7004686
35.1814684,126.7304954
35.2197806,126.7451439
35.1495409,126.9195361
35.1408572,126.9199455
35.1566128,126.9319251
35.1220477,126.93345
35.1494398,126.9427837
35.1352905,126.8594103
35.1577835,126.850481
35.1531314,126.8769416
35.1504402,126.8903296
35.1709662,126.8644059
35.1415824,126.8792256
35.1243691,126.8788038
35.1411102,126.9005689
35.1329835,126.9086578
35.1120645,126.8997198
35.1429586,126.915238
35.133946,126.8934809
35.0802465,126.8345978
35.178299,126.919878
35.1871401,126.866138
35.1742118,126.9331483
35.18344,126.9025027
35.203009,126.8981784
35.187036,126.9214481
35.1625665,126.9050891
35.2186615,126.8797579
35.2138774,126.9487651
36.3180217,127.4269479
36.3225203,127.4140397
36.3127923,127.3984402
36.3060962,127.4019072
36.3341042,127.421213
36.3390919,127.412524
36.3519015,127.4369479
36.3308244,127.4341417
